code,omschrijving
1192-69,Niet-gekapitaliseerde onderhoudsuitkeringen - werkelijk ontvangen
2192-39,Niet-gekapitaliseerde onderhoudsuitkeringen - werkelijk ontvangen (partner)
1193-68,Uitkeringen toegekend met terugwerkende kracht
2193-38,Uitkeringen toegekend met terugwerkende kracht (partner)
1194-67,Gekapitaliseerde uitkeringen - fictief jaarbedrag
2194-37,Gekapitaliseerde uitkeringen - fictief jaarbedrag (partner)
1195-66,Datum toekenning kapitaal
2195-36,Datum toekenning kapitaal (partner)
1196-65,Bedrag kapitaal
2196-35,Bedrag kapitaal (partner)
