code,omschrijving
1756,Roerende voorheffing
2756,Roerende voorheffing (partner)
1757,Forfaitair gedeelte van de buitenlandse belasting
2757,Forfaitair gedeelte van de buitenlandse belasting (partner)
1758,Bedrijfsvoorheffing
2758,Bedrijfsvoorheffing (partner)
1759,Belastingkrediet voor aangroei eigen middelen
2759,Belastingkrediet voor aangroei eigen middelen (partner)
1760,Belastingkrediet fietskilometervergoeding (cao 164)
2760,Belastingkrediet fietskilometervergoeding (partner)
1762,Belastingkrediet facultatieve fietskilometervergoeding
2762,Belastingkrediet facultatieve fietskilometervergoeding (partner)
1763,Belastingkrediet uitgevers papieren publicaties
2763,Belastingkrediet uitgevers papieren publicaties (partner)
1764,Belastingkrediet verhoging tussenkomst treinabonnement
2764,Belastingkrediet verhoging tussenkomst treinabonnement (partner)
