code,omschrijving
1400,Gewone bezoldigingen bedrijfsleider
2400,Gewone bezoldigingen bedrijfsleider (partner)
1401,Huurinkomsten als bezoldiging geherkwalificeerd
2401,Huurinkomsten als bezoldiging geherkwalificeerd (partner)
1402,Voordelen van alle aard / vervroegd vakantiegeld
2402,Voordelen van alle aard / vervroegd vakantiegeld (partner)
1453,Eigen kosten van de werkgever/vennootschap
2453,Eigen kosten van de werkgever/vennootschap (partner)
1454,Niet ingehouden persoonlijke sociale bijdragen
2454,Niet ingehouden persoonlijke sociale bijdragen (partner)
1421,Bedrijfsvoorheffing
2421,Bedrijfsvoorheffing (partner)
1407,Inhoudingen voor aanvullend pensioen
2407,Inhoudingen voor aanvullend pensioen (partner)
1408,Bijzondere bijdrage voor de sociale zekerheid (BBSZ)
2408,Bijzondere bijdrage voor de sociale zekerheid (partner)
1409,Werkbonus
2409,Werkbonus (partner)
1419,Werkbonus - 33,14%
2419,Werkbonus - 33,14% (partner)
1430,Werkbonus - 52,54%
2430,Werkbonus - 52,54% (partner)
1410,Wettelijk vakantiegeld eerste werkhervatting
2410,Wettelijk vakantiegeld eerste werkhervatting (partner)
1411,Opzeggingsvergoedingen
2411,Opzeggingsvergoedingen (partner)
1439,Achterstallen
2439,Achterstallen (partner)
1412,Fietsvergoeding
2412,Fietsvergoeding (partner)
1413,Overuren relance - aantal uren
2413,Overuren relance - aantal uren (partner)
1414,Overuren relance - bezoldiging
2414,Overuren relance - bezoldiging (partner)
1415,Begindatum beroepswerkzaamheid
2415,Begindatum beroepswerkzaamheid (partner)
1416,Einddatum beroepswerkzaamheid
2416,Einddatum beroepswerkzaamheid (partner)
1417,Bezoldigingen hervatting na ontslag
2417,Bezoldigingen hervatting na ontslag (partner)
1418,Niet-recurrente resultaatsgebonden voordelen
2418,Niet-recurrente resultaatsgebonden voordelen (partner)
1427,Roerende voorheffing auteursrechten
2427,Roerende voorheffing auteursrechten (partner)
1428,Bijdragen individuele voortzetting pensioen
2428,Bijdragen individuele voortzetting pensioen (partner)
1438,Overuren relance 2024 - aantal uren
2438,Overuren relance 2024 - aantal uren (partner)
1440,Overuren relance 2024 - bezoldiging
2440,Overuren relance 2024 - bezoldiging (partner)
