code,omschrijving
1450,Toegekende bezoldigingen meewerkende echtgenoot
2450,Toegekende bezoldigingen meewerkende echtgenoot (partner)
1451,Sociale bijdragen meewerkende echtgenoot
2451,Sociale bijdragen meewerkende echtgenoot (partner)
1452,Andere beroepskosten meewerkende echtgenoot
2452,Andere beroepskosten meewerkende echtgenoot (partner)
1453,Bijberoep/student-zelfstandige meewerkende echtgenoot
2453,Bijberoep/student-zelfstandige meewerkende echtgenoot (partner)
1455,Begindatum beroepswerkzaamheid meewerkende echtgenoot
2455,Begindatum beroepswerkzaamheid meewerkende echtgenoot (partner)
1456,Einddatum beroepswerkzaamheid meewerkende echtgenoot
2456,Einddatum beroepswerkzaamheid meewerkende echtgenoot (partner)
