code,omschrijving
1686,Stopzettingsmeerwaarden - 10%
2686,Stopzettingsmeerwaarden - 10% (partner)
1690,Stopzettingsmeerwaarden - 16,5%
2690,Stopzettingsmeerwaarden - 16,5% (partner)
1691,Stopzettingsmeerwaarden - 33%
2691,Stopzettingsmeerwaarden - 33% (partner)
1692,Stopzettingsmeerwaarden - gezamenlijk belastbaar
2692,Stopzettingsmeerwaarden - gezamenlijk belastbaar (partner)
1693,Winst/baten overeenst. voorheen afgetrokken kosten (overdracht)
2693,Winst/baten overeenst. voorheen afgetrokken kosten (partner)
1687,Premies/vergoedingen - 12,5%
2687,Premies/vergoedingen - 12,5% (partner)
1694,Premies/vergoedingen - 16,5%
2694,Premies/vergoedingen - 16,5% (partner)
1695,Winst/baten na stopzetting
2695,Winst/baten na stopzetting (partner)
1688,Baten sportieve activiteiten na stopzetting
2688,Baten sportieve activiteiten na stopzetting (partner)
1689,Baten opleiders/trainers sportbeoefenaars na stopzetting
2689,Baten opleiders/trainers sportbeoefenaars na stopzetting (partner)
1696,Beroepskosten - overdracht activa
2696,Beroepskosten - overdracht activa (partner)
1697,Andere beroepskosten
2697,Andere beroepskosten (partner)
1698,Hervatting na ontslag
2698,Hervatting na ontslag (partner)
