Gemeente;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Aalst;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Aalter (vanaf 2019);;;;;;;;;;;;5,9;5,9;5,9;5,9;5,9;5,6;5,6;6,5
Aalter (t/m 2018);6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;5,9;;;;;;;;
Aarschot;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Aartselaar;4;4;4;4;4;5;5;5;5;5;5;5;4,9;4,9;4,9;4,9;4,9;4,9;5
Affligem;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Alken;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Alveringem;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Antwerpen (vanaf 2025);;;;;;;;;;;;;;;;;;7;7
Antwerpen (t/m 2024);8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7;;
Anzegem;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Ardooie;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
Arendonk;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7;7;7;7;7;7;7;7;7;7;7;7,5
As;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Asse;6;6;6;6;6;6;6;6;6;6;6;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9
Assenede;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Avelgem;7;7;7;7;7;7;7;7;7;6,3;6,3;6,3;7;7;7;7;7;7;7
Baarle-Hertog;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,3;7,3;7,3;7,3;7,3;7,2;7,2;7,2;7,2;7,2;7,2;7,2
Balen;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Beernem;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,8;7,8;7,8;7,8;7,8;7,8;7,8
Beerse;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,2;6,2;6,2;6;6;6,9;6,9;6,9;6,9;6,9;6,9;6,9
Beersel;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,2;6,9;6,9;6,9;6,9;6,9;6,8;6,8;6,8;6,9
Begijnendijk;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7,9
