code,omschrijving
3332-63,Reno-overeenkomsten - ter beschikking gestelde bedragen 1.1.2025
4332-33,Reno-overeenkomsten - ter beschikking gestelde bedragen 1.1.2025 (partner)
3333-62,Reno-overeenkomsten - ter beschikking gestelde bedragen 31.12.2025
4333-32,Reno-overeenkomsten - ter beschikking gestelde bedragen 31.12.2025 (partner)
3395-97,Vernieuwing woning via sociaal verhuurkantoor (2017–2018)
1394-61,Giften
1384-71,Kinderoppas - uitgaven voor belastingvermindering
1342-16,Premies aanvullend pensioen zelfstandigen
2342-83,Premies aanvullend pensioen zelfstandigen (partner)
1361-94,Pensioensparen
2361-64,Pensioensparen (partner)
1362-93,Betalingen nieuwe kapitaalaandelen 2025
2362-63,Betalingen nieuwe kapitaalaandelen 2025 (partner)
1366-89,Terugname belastingvermindering aandelen 2025
2366-59,Terugname belastingvermindering aandelen 2025 (partner)
1318-40,Startende ondernemingen - vermindering 30%
2318-10,Startende ondernemingen - vermindering 30% (partner)
1320-38,Startende ondernemingen - vermindering 45%
2320-08,Startende ondernemingen - vermindering 45% (partner)
1328-30,Terugname vermindering startende ondernemingen
2328-97,Terugname vermindering startende ondernemingen (partner)
1334-24,Groeibedrijven - betalingen 2025
2334-91,Groeibedrijven - betalingen 2025 (partner)
1343-15,Groeibedrijven - terugname vermindering
2343-82,Groeibedrijven - terugname vermindering (partner)
1377-78,Terugname vermindering COVID‑19 aandelen
2377-48,Terugname vermindering COVID‑19 aandelen (partner)
1376-79,Terugname vermindering ontwikkelingsfondsen
2376-49,Terugname vermindering ontwikkelingsfondsen (partner)
