code,omschrijving
1105-59,Onroerende goederen gebruikt voor beroep (KI)
2105-29,Onroerende goederen gebruikt voor beroep (partner)
1106-58,Gebouwen verhuurd aan particulieren of sociale huisvesting (KI)
2106-28,Gebouwen verhuurd aan particulieren of sociale huisvesting (partner)
1107-57,Gronden/materieel/outillering niet verhuurd of verhuurd aan particulieren (KI)
2107-27,Gronden/materieel/outillering niet verhuurd of verhuurd aan particulieren (partner)
1108-56,Pachtwetgeving – landbouw/tuinbouw (KI)
2108-26,Pachtwetgeving – landbouw/tuinbouw (partner)
1109-55,Gebouwen verhuurd in andere omstandigheden (KI)
2109-25,Gebouwen verhuurd in andere omstandigheden (partner)
1110-54,Brutohuur gebouwen
2110-24,Brutohuur gebouwen (partner)
1112-52,Gronden verhuurd in andere omstandigheden (KI)
2112-22,Gronden verhuurd in andere omstandigheden (partner)
1113-51,Brutohuur gronden
2113-21,Brutohuur gronden (partner)
1115-49,Materieel/outillering verhuurd (KI)
2115-19,Materieel/outillering verhuurd (partner)
1116-48,Brutohuur materieel/outillering
2116-18,Brutohuur materieel/outillering (partner)
1114-50,Recht van erfpacht/opstal – bedragen
2114-20,Recht van erfpacht/opstal – bedragen (partner)
