code,omschrijving
1260-01,Gewone werkloosheidsuitkeringen
2260-68,Gewone werkloosheidsuitkeringen (partner)
1304-54,Aanvullende uitkeringen december 2025 (overheid)
2304-24,Aanvullende uitkeringen december 2025 (partner)
1261-97,Achterstallen werkloosheidsuitkeringen
2261-67,Achterstallen werkloosheidsuitkeringen (partner)
1264-94,Werkloosheidsuitkeringen met anciënniteitstoeslag
2264-64,Werkloosheidsuitkeringen met anciënniteitstoeslag (partner)
1265-93,Achterstallen met anciënniteitstoeslag
2265-63,Achterstallen met anciënniteitstoeslag (partner)
