code,omschrijving
3138-63,Interesten lening voor enige woning - bouwen/verwerven
4138-33,Interesten lening voor enige woning - bouwen/verwerven (partner)
3139-62,Interesten lening voor woning ≥15/20 jaar in gebruik - vernieuwen
4139-32,Interesten lening voor woning ≥15/20 jaar in gebruik - vernieuwen (partner)
3140-61,Datum lening
4140-31,Datum lening (partner)
3141-60,Bedrag lening
4141-30,Bedrag lening (partner)
3142-59,Aantal kinderen ten laste bij afsluiting lening
4142-29,Aantal kinderen ten laste bij afsluiting lening (partner)
3144-57,Datum ingebruikneming/voltooiing werken
4144-27,Datum ingebruikneming/voltooiing werken (partner)
3145-56,Kostprijs vernieuwingswerken
4145-26,Kostprijs vernieuwingswerken (partner)
3148-53,Aandeel in eigen woning (%)
4148-23,Aandeel in eigen woning (%) (partner)
3149-52,Aandeel mede‑leners (%)
4149-22,Aandeel mede‑leners (%) (partner)
3136-65,Eigen woning voor beide partners - Ja
3137-64,Eigen woning voor beide partners - Neen
