code,omschrijving
3334-61,KI eigen woning niet verhuurd
4334-31,KI eigen woning niet verhuurd (partner)
3335-60,KI verhuurd aan natuurlijke persoon niet voor beroep
4335-30,KI verhuurd aan natuurlijke persoon niet voor beroep (partner)
3336-59,KI verhuurd aan rechtspersoon voor sociale huisvesting - Ja
4336-29,KI verhuurd aan rechtspersoon voor sociale huisvesting - Ja (partner)
3337-58,KI verhuurd aan rechtspersoon voor sociale huisvesting - Neen
4337-28,KI verhuurd aan rechtspersoon voor sociale huisvesting - Neen (partner)
3330-65,KI verhuurd in andere omstandigheden
4330-35,KI verhuurd in andere omstandigheden (partner)
3360-35,Brutohuur eigen woning
4360-05,Brutohuur eigen woning (partner)
3361-34,Brutohuur andere verhuurvorm
4361-04,Brutohuur andere verhuurvorm (partner)
3370-25,Brutohuur (categorie 3)
4370-92,Brutohuur (categorie 3) (partner)
3371-24,Brutohuur (categorie 4)
4371-91,Brutohuur (categorie 4) (partner)
3100-04,KI eigen woning (niet verhuurd)
4100-71,KI eigen woning (niet verhuurd) (partner)
3106-95,KI verhuurd aan natuurlijke persoon
4106-65,KI verhuurd aan natuurlijke persoon (partner)
3109-92,KI verhuurd in andere omstandigheden
4109-62,KI verhuurd in andere omstandigheden (partner)
3110-91,Brutohuur
4110-61,Brutohuur (partner)
