code,omschrijving
1160-04,Inkomsten kapitalen met RV 30%
2160-71,Inkomsten kapitalen met RV 30% (partner)
1161-03,Inkomsten kapitalen met RV 20%
2161-70,Inkomsten kapitalen met RV 20% (partner)
1162-02,Inkomsten kapitalen met RV 15%
2162-69,Inkomsten kapitalen met RV 15% (partner)
1163-01,Inkomsten kapitalen met RV 6,5%
2163-68,Inkomsten kapitalen met RV 6,5% (partner)
1436-19,Inkomsten kapitalen met RV 5%
2436-86,Inkomsten kapitalen met RV 5% (partner)
1167-94,Carried interest - niet verplicht aan te geven
2167-64,Carried interest - niet verplicht aan te geven (partner)
1437-18,Verrekenbare RV op vrijgestelde dividenden
2437-85,Verrekenbare RV op vrijgestelde dividenden (partner)
1151-13,Inkomsten gereglementeerde spaardeposito’s zonder RV
2151-80,Inkomsten gereglementeerde spaardeposito’s zonder RV (partner)
1442-13,Carried interest zonder RV
2442-80,Carried interest zonder RV (partner)
1444-11,Andere inkomsten zonder RV - 30%
2444-78,Andere inkomsten zonder RV - 30% (partner)
1159-05,Andere inkomsten zonder RV - 20%
2159-72,Andere inkomsten zonder RV - 20% (partner)
1445-10,Andere inkomsten zonder RV - 15%
2445-77,Andere inkomsten zonder RV - 15% (partner)
1446-09,Andere inkomsten zonder RV - 6,5%
2446-76,Andere inkomsten zonder RV - 6,5% (partner)
1448-07,Andere inkomsten zonder RV - 5%
2448-74,Andere inkomsten zonder RV - 5% (partner)
1156-08,Netto-inkomen verhuur/verpachting roerende goederen
2156-75,Netto-inkomen verhuur/verpachting roerende goederen (partner)
1158-06,Inkomsten begrepen in lijfrenten
2158-73,Inkomsten begrepen in lijfrenten (partner)
1123-41,Auteursrechten - bruto
2123-11,Auteursrechten - bruto (partner)
1124-40,Auteursrechten - kosten
2124-10,Auteursrechten - kosten (partner)
1119-45,Auteursrechten - roerende voorheffing
2119-15,Auteursrechten - roerende voorheffing (partner)
1170-91,Innings- en bewaarkosten
2170-61,Innings- en bewaarkosten (partner)
