code,omschrijving
1250-11,Totaal wedden/lonen volgens fiches 281.10 en niet‑vermelde bezoldigingen
2250-78,Totaal wedden/lonen (partner)
1251-10,Vervroegd vakantiegeld
2251-77,Vervroegd vakantiegeld (partner)
1252-09,Achterstallen
2252-76,Achterstallen (partner)
1308-50,Opzeggingsvergoedingen en inschakelingsvergoedingen
2308-20,Opzeggingsvergoedingen en inschakelingsvergoedingen (partner)
1247-14,Bezoldigingen december 2025 (overheid)
2247-81,Bezoldigingen december 2025 (partner)
1254-07,Vergoedingen woon‑werkverkeer – totaal bedrag
2254-74,Vergoedingen woon‑werkverkeer – totaal bedrag (partner)
1255-06,Vergoedingen woon‑werkverkeer – vrijstelling
2255-73,Vergoedingen woon‑werkverkeer – vrijstelling (partner)
1242-19,Niet‑recurrente resultaatsgebonden voordelen – gewone
2242-86,Niet‑recurrente resultaatsgebonden voordelen – gewone (partner)
1243-18,Niet‑recurrente resultaatsgebonden voordelen – achterstallen
2243-85,Niet‑recurrente resultaatsgebonden voordelen – achterstallen (partner)
1240-21,Werkgeverstussenkomst privé‑pc – totaal bedrag
2240-88,Werkgeverstussenkomst privé‑pc – totaal bedrag (partner)
1241-20,Werkgeverstussenkomst privé‑pc – vrijstelling
2241-87,Werkgeverstussenkomst privé‑pc – vrijstelling (partner)
1335-23,Overuren horeca zonder GKS – gewone bezoldigingen
2335-90,Overuren horeca zonder GKS – gewone bezoldigingen (partner)
1336-22,Overuren horeca zonder GKS – aantal overuren
2336-89,Overuren horeca zonder GKS – aantal overuren (partner)
1337-21,Overuren horeca zonder GKS – achterstallen
2337-88,Overuren horeca zonder GKS – achterstallen (partner)
1338-20,Overuren horeca zonder GKS – aantal overuren (achterstallen)
2338-87,Overuren horeca zonder GKS – aantal overuren (partner)
1395-60,Overuren horeca met GKS – gewone bezoldigingen
2395-30,Overuren horeca met GKS – gewone bezoldigingen (partner)
1396-59,Overuren horeca met GKS – aantal overuren
2396-29,Overuren horeca met GKS – aantal overuren (partner)
1397-58,Overuren horeca met GKS – achterstallen
2397-28,Overuren horeca met GKS – achterstallen (partner)
1398-57,Overuren horeca met GKS – aantal overuren (achterstallen)
2398-27,Overuren horeca met GKS – aantal overuren (partner)
1262-96,Flexijob bezoldigingen (niet‑gepensioneerde)
2262-66,Flexijob bezoldigingen (partner)
1391-64,Vergoedingen vrijwillige brandweer/ambulanciers/civiele bescherming
2391-34,Vergoedingen vrijwillige brandweer/ambulanciers/civiele bescherming (partner)
1306-52,Vrijwillige overuren 2025 – bezoldigingen
2306-22,Vrijwillige overuren 2025 – bezoldigingen (partner)
1307-51,Vrijwillige overuren 2025 – aantal overuren
2307-21,Vrijwillige overuren 2025 – aantal overuren (partner)
1368-87,Vrijwillige overuren 2024 – bezoldigingen
2368-57,Vrijwillige overuren 2024 – bezoldigingen (partner)
1369-86,Vrijwillige overuren 2024 – aantal overuren
2369-56,Vrijwillige overuren 2024 – aantal overuren (partner)
1381-74,Vrijwillige overuren 2023 – bezoldigingen
2381-44,Vrijwillige overuren 2023 – bezoldigingen (partner)
1382-73,Vrijwillige overuren 2023 – aantal overuren
2382-43,Vrijwillige overuren 2023 – aantal overuren (partner)
1263-95,33% belastbare bezoldigingen horeca/gezondheidszorg gepensioneerden
2263-65,33% belastbare bezoldigingen horeca/gezondheidszorg gepensioneerden (partner)
1273-85,Sportbeoefenaars – wedden/lonen
2273-55,Sportbeoefenaars – wedden/lonen (partner)
1274-84,Sportbeoefenaars – vervroegd vakantiegeld
2274-54,Sportbeoefenaars – vervroegd vakantiegeld (partner)
1275-83,Sportbeoefenaars – achterstallen
2275-53,Sportbeoefenaars – achterstallen (partner)
1276-82,Sportbeoefenaars – opzeggingsvergoedingen
2276-52,Sportbeoefenaars – opzeggingsvergoedingen (partner)
1277-81,Scheidsrechters/trainers – wedden/lonen
2277-51,Scheidsrechters/trainers – wedden/lonen (partner)
1278-80,Scheidsrechters/trainers – vervroegd vakantiegeld
2278-50,Scheidsrechters/trainers – vervroegd vakantiegeld (partner)
1279-79,Scheidsrechters/trainers – achterstallen
2279-49,Scheidsrechters/trainers – achterstallen (partner)
1280-78,Scheidsrechters/trainers – opzeggingsvergoedingen
2280-48,Scheidsrechters/trainers – opzeggingsvergoedingen (partner)
1267-91,Impulsfonds premie huisarts – prioritaire zone
2267-61,Impulsfonds premie huisarts – prioritaire zone (partner)
1257-04,Niet‑ingehouden persoonlijke sociale bijdragen
2257-71,Niet‑ingehouden persoonlijke sociale bijdragen (partner)
1258-03,Andere beroepskosten (geen forfait)
2258-70,Andere beroepskosten (partner)
