code,omschrijving
1281-77,Wettelijke werkloosheidsuitkeringen – gewone
2281-47,Wettelijke werkloosheidsuitkeringen – gewone (partner)
1282-76,Wettelijke werkloosheidsuitkeringen – achterstallen
2282-46,Wettelijke werkloosheidsuitkeringen – achterstallen (partner)
1235-26,Bedrijfstoeslag tot 31.12.2015
2235-93,Bedrijfstoeslag tot 31.12.2015 (partner)
1327-31,Bedrijfstoeslag vanaf 1.1.2016
2327-01,Bedrijfstoeslag vanaf 1.1.2016 (partner)
1236-25,Achterstallen bedrijfstoeslag tot 31.12.2015
2236-92,Achterstallen bedrijfstoeslag tot 31.12.2015 (partner)
1340-18,Achterstallen bedrijfstoeslag vanaf 1.1.2016
2340-85,Achterstallen bedrijfstoeslag vanaf 1.1.2016 (partner)
