code,omschrijving
3377-18,Winwinleningen - uitstaand saldo 1.1.2025
4377-85,Winwinleningen - uitstaand saldo 1.1.2025 (partner)
3378-17,Winwinleningen - uitstaand saldo 31.12.2025
4378-84,Winwinleningen - uitstaand saldo 31.12.2025 (partner)
3376-19,Vriendenaandelen - volgestort bedrag
4376-86,Vriendenaandelen - volgestort bedrag (partner)
3368-27,Winwinleningen 2020–2021 - verloren hoofdsom
4368-94,Winwinleningen 2020–2021 - verloren hoofdsom (partner)
3379-16,Winwinleningen vóór 2020 en na 2021 - verloren hoofdsom
4379-83,Winwinleningen vóór 2020 en na 2021 - verloren hoofdsom (partner)
