code,omschrijving
1030-37,aantal kinderen volledig ten laste
1031-36,aantal kinderen met zware handicap (volledig ten laste)
1038-29,aantal kinderen <3 jaar zonder aanvraag kinderoppasvermindering
1039-28,aantal kinderen <3 jaar met zware handicap
1034-33,aantal kinderen met gedeeld voordeel (gelijkmatig verdeelde huisvesting)
1035-32,aantal kinderen met zware handicap (gedeeld voordeel)
1054-13,aantal kinderen <3 jaar (gedeeld voordeel)
1055-12,aantal kinderen <3 jaar met zware handicap (gedeeld voordeel)
1036-31,aantal kinderen ten laste van andere ouder maar gedeeld voordeel
1037-30,aantal kinderen met zware handicap (andere ouder)
1058-09,aantal kinderen <3 jaar (andere ouder)
1059-08,aantal kinderen <3 jaar met zware handicap (andere ouder)
1027-40,aantal ouders/grootouders/broers/zussen ≥66 jaar met verminderde zelfredzaamheid
1032-35,aantal andere personen ten laste
1033-34,aantal andere personen met zware handicap
