code,omschrijving
1440,Netto-inkomen onroerend goed in het buitenland (gemeenschappelijk belast)
2440,Netto-inkomen onroerend goed in het buitenland (partner)
1179,Inkomsten uit verhuring/onderverhuring van roerende goederen
2179,Inkomsten uit verhuring/onderverhuring van roerende goederen (partner)
1180,Inkomsten uit concessie van plakbrieven/reclame
2180,Inkomsten uit concessie van plakbrieven/reclame (partner)
1199,Inkomsten uit jacht-, vis- en vogelvangstrechten
2199,Inkomsten uit jacht-, vis- en vogelvangstrechten (partner)
1443,Onderhoudsgelden - totaalbedrag
2443,Onderhoudsgelden - totaalbedrag (partner)
1198,Onderhoudsgelden - afzonderlijk belastbaar (80%)
2198,Onderhoudsgelden - afzonderlijk belastbaar (partner)
1200,Inkomsten deeleconomie
2200,Inkomsten deeleconomie (partner)
1460,Toevallige winsten - gezamenlijk belastbaar
2460,Toevallige winsten - gezamenlijk belastbaar (partner)
1461,Toevallige winsten - 33%
2461,Toevallige winsten - 33% (partner)
1462,Toevallige winsten - 16,5%
2462,Toevallige winsten - 16,5% (partner)
1172,Prijzen en subsidies
2172,Prijzen en subsidies (partner)
1463,Vergoedingen niet-werkende scheidsrechters - 33%
2463,Vergoedingen niet-werkende scheidsrechters - 33% (partner)
1175,Meerwaarden op ongebouwde onroerende goederen - gezamenlijk
2175,Meerwaarden op ongebouwde onroerende goederen - gezamenlijk (partner)
1176,Meerwaarden op gebouwde onroerende goederen - gezamenlijk
2176,Meerwaarden op gebouwde onroerende goederen - gezamenlijk (partner)
1177,Meerwaarden op ongebouwde onroerende goederen - 16,5%
2177,Meerwaarden op ongebouwde onroerende goederen - 16,5% (partner)
1178,Meerwaarden op gebouwde onroerende goederen - 16,5%
2178,Meerwaarden op gebouwde onroerende goederen - 16,5% (partner)
1209,Meerwaarden op gronden/gebouwen - herzien verlies
2209,Meerwaarden op gronden/gebouwen - herzien verlies (partner)
1169,Meerwaarden op aandelen - 33%
2169,Meerwaarden op aandelen - 33% (partner)
1170,Loten van effecten
2170,Loten van effecten (partner)
1171,Ander divers inkomen
2171,Ander divers inkomen (partner)
1168,Diverse inkomsten buitenlandse oorsprong - kosten
2168,Diverse inkomsten buitenlandse oorsprong - kosten (partner)
1467,Diverse inkomsten buitenlandse oorsprong - netto bedrag
2467,Diverse inkomsten buitenlandse oorsprong - netto bedrag (partner)
