code,omschrijving
1600,Brutowinst eigenlijke exploitatie
2600,Brutowinst eigenlijke exploitatie (partner)
1601,Voorheen vrijgestelde winst
2601,Voorheen vrijgestelde winst (partner)
1602,Financiële opbrengsten
2602,Financiële opbrengsten (partner)
1603,Meerwaarden - 16,5%
2603,Meerwaarden - 16,5% (partner)
1604,Meerwaarden - gezamenlijk belastbaar
2604,Meerwaarden - gezamenlijk belastbaar (partner)
1615,Winst overeenst. voorheen afgetrokken kosten (overdracht)
2615,Winst overeenst. voorheen afgetrokken kosten (partner)
1607,Vergoedingen stopzetting - 12,5%
2607,Vergoedingen stopzetting - 12,5% (partner)
1636,COVID-19 overbruggingsrecht - 16,5%
2636,COVID-19 overbruggingsrecht - 16,5% (partner)
1605,Vergoedingen stopzetting - andere 16,5%
2605,Vergoedingen stopzetting - andere 16,5% (partner)
1618,Vergoedingen stopzetting - 33%
2618,Vergoedingen stopzetting - 33% (partner)
1637,COVID-19 overbruggingsrecht - gezamenlijk
2637,COVID-19 overbruggingsrecht - gezamenlijk (partner)
1610,Vergoedingen stopzetting - andere gezamenlijk
2610,Vergoedingen stopzetting - andere gezamenlijk (partner)
1632,Sociale bijdragen zelfstandige
2632,Sociale bijdragen zelfstandige (partner)
1620,Beroepskosten - overdracht activa
2620,Beroepskosten - overdracht activa (partner)
1611,Beroepskosten - bezoldigingen meewerkende echtgenoot
2611,Beroepskosten - bezoldigingen meewerkende echtgenoot (partner)
1606,Andere beroepskosten
2606,Andere beroepskosten (partner)
1609,Vrijstelling - waardeverminderingen/voorzieningen
2609,Vrijstelling - waardeverminderingen/voorzieningen (partner)
1608,Vrijstelling - minnelijk akkoord/reorganisatieplan
2608,Vrijstelling - minnelijk akkoord/reorganisatieplan (partner)
1612,Vrijstelling - bijkomend personeel
2612,Vrijstelling - bijkomend personeel (partner)
1633,Vrijstelling - sociaal passief eenheidsstatuut
2633,Vrijstelling - sociaal passief eenheidsstatuut (partner)
1614,Investeringsaftrek
2614,Investeringsaftrek (partner)
1616,Toekenning meewerkende echtgenoot
2616,Toekenning meewerkende echtgenoot (partner)
1617,Toekenning bijberoep/student-zelfstandige
2617,Toekenning bijberoep/student-zelfstandige (partner)
1621,Hervatting na ontslag
2621,Hervatting na ontslag (partner)
