code,omschrijving
1650,Ontvangsten uit uitoefening van het beroep
2650,Ontvangsten uit uitoefening van het beroep (partner)
1658,Ontvangsten sportbeoefenaars
2658,Ontvangsten sportbeoefenaars (partner)
1659,Ontvangsten opleiders/trainers/begeleiders sportbeoefenaars
2659,Ontvangsten opleiders/trainers/begeleiders sportbeoefenaars (partner)
1652,Achterstallige erelonen
2652,Achterstallige erelonen (partner)
1651,Voorheen vrijgestelde baten
2651,Voorheen vrijgestelde baten (partner)
1653,Meerwaarden - 16,5%
2653,Meerwaarden - 16,5% (partner)
1654,Meerwaarden - gezamenlijk belastbaar
2654,Meerwaarden - gezamenlijk belastbaar (partner)
1674,Baten overeenst. voorheen afgetrokken kosten (overdracht)
2674,Baten overeenst. voorheen afgetrokken kosten (partner)
1682,COVID-19 overbruggingsrecht - 16,5%
2682,COVID-19 overbruggingsrecht - 16,5% (partner)
1655,Vergoedingen stopzetting - andere 16,5%
2655,Vergoedingen stopzetting - andere 16,5% (partner)
1667,Vergoedingen stopzetting - 33%
2667,Vergoedingen stopzetting - 33% (partner)
1683,COVID-19 overbruggingsrecht - gezamenlijk
2683,COVID-19 overbruggingsrecht - gezamenlijk (partner)
1661,Vergoedingen stopzetting - andere gezamenlijk
2661,Vergoedingen stopzetting - andere gezamenlijk (partner)
1656,Sociale bijdragen zelfstandige
2656,Sociale bijdragen zelfstandige (partner)
1669,Beroepskosten - bezoldigingen meewerkende echtgenoot
2669,Beroepskosten - bezoldigingen meewerkende echtgenoot (partner)
1657,Andere beroepskosten
2657,Andere beroepskosten (partner)
1681,Vrijstelling - sociaal passief eenheidsstatuut
2681,Vrijstelling - sociaal passief eenheidsstatuut (partner)
1662,Investeringsaftrek
2662,Investeringsaftrek (partner)
1660,Vrijstelling - waardeverminderingen/voorzieningen
2660,Vrijstelling - waardeverminderingen/voorzieningen (partner)
1664,Vrijstelling - bijkomend personeel
2664,Vrijstelling - bijkomend personeel (partner)
1665,Vrijstelling - stagebonus
2665,Vrijstelling - stagebonus (partner)
1666,Vrijstelling - minnelijk akkoord/reorganisatieplan
2666,Vrijstelling - minnelijk akkoord/reorganisatieplan (partner)
1663,Toekenning meewerkende echtgenoot
2663,Toekenning meewerkende echtgenoot (partner)
1668,Toekenning bijberoep/student-zelfstandige
2668,Toekenning bijberoep/student-zelfstandige (partner)
1670,Feitelijke vereniging - aandeel in het resultaat
2670,Feitelijke vereniging - aandeel in het resultaat (partner)
1679,Feitelijke vereniging - aandeel verlies belastingplichtige
1680,Feitelijke vereniging - aandeel verlies partner
2679,Feitelijke vereniging - aandeel verlies belastingplichtige (partner)
2680,Feitelijke vereniging - aandeel verlies partner (partner)
