code,omschrijving
1319-39,Aanvullende vergoedingen – tot 31.12.2015
2319-09,Aanvullende vergoedingen – tot 31.12.2015 (partner)
1321-37,Aanvullende vergoedingen – vanaf 1.1.2016
2321-07,Aanvullende vergoedingen – vanaf 1.1.2016 (partner)
1322-36,Vergoedingen december 2025 (overheid)
2322-06,Vergoedingen december 2025 (partner)
1324-34,Achterstallen tot 31.12.2015
2324-04,Achterstallen tot 31.12.2015 (partner)
1339-19,Achterstallen vanaf 1.1.2016
2339-86,Achterstallen vanaf 1.1.2016 (partner)
1292-66,Aanvullende vergoedingen bovenop werkloosheid – gewone
2292-36,Aanvullende vergoedingen bovenop werkloosheid – gewone (partner)
1300-58,Vergoedingen december 2025 (overheid)
2300-28,Vergoedingen december 2025 (partner)
1293-65,Achterstallen aanvullende vergoedingen
2293-35,Achterstallen aanvullende vergoedingen (partner)
1294-64,Vergoedingen zonder doorbetalingsclausule – gewone
2294-34,Vergoedingen zonder doorbetalingsclausule – gewone (partner)
1301-57,Vergoedingen december 2025 (overheid)
2301-27,Vergoedingen december 2025 (partner)
1295-63,Achterstallen zonder doorbetalingsclausule
2295-33,Achterstallen zonder doorbetalingsclausule (partner)
1297-61,Na ontslag werk hervat – Ja
2297-31,Na ontslag werk hervat – Ja (partner)
1298-60,Na ontslag werk hervat – Neen
2298-30,Na ontslag werk hervat – Neen (partner)
1269-89,Aanvullende ziekte‑ of invaliditeitsuitkeringen
2269-59,Aanvullende ziekte‑ of invaliditeitsuitkeringen (partner)
1270-88,Uitkeringen beroepsziekte/arbeidsongeval
2270-58,Uitkeringen beroepsziekte/arbeidsongeval (partner)
1309-49,Eenmalige COVID‑19 premie
2309-19,Eenmalige COVID‑19 premie (partner)
1271-87,Andere vervangingsinkomsten
2271-57,Andere vervangingsinkomsten (partner)
1302-56,Uitkeringen december 2025 (overheid)
2302-26,Uitkeringen december 2025 (partner)
1272-86,Achterstallen vervangingsinkomsten
2272-56,Achterstallen vervangingsinkomsten (partner)
