code,omschrijving
1228-33,Wettelijke pensioenen vanaf wettelijke pensioenleeftijd - gewone
2228-03,Wettelijke pensioenen vanaf wettelijke pensioenleeftijd - gewone (partner)
1314-44,Pensioenen december 2025 (overheid)
2314-14,Pensioenen december 2025 (overheid) (partner)
1230-31,Achterstallen wettelijke pensioenen
2230-01,Achterstallen wettelijke pensioenen (partner)
1229-32,Overlevingspensioenen en overgangsuitkeringen - gewone
2229-02,Overlevingspensioenen en overgangsuitkeringen - gewone (partner)
1315-43,Overlevingspensioenen december 2025 (overheid)
2315-13,Overlevingspensioenen december 2025 (overheid) (partner)
1231-30,Achterstallen overlevingspensioenen
2231-97,Achterstallen overlevingspensioenen (partner)
1211-50,Andere pensioenen/renten/kapitalen - gewone
2211-20,Andere pensioenen/renten/kapitalen - gewone (partner)
1316-42,Andere pensioenen december 2025 (overheid)
2316-12,Andere pensioenen december 2025 (overheid) (partner)
1212-49,Achterstallen andere pensioenen/renten
2212-19,Achterstallen andere pensioenen/renten (partner)
1213-48,Kapitalen en afkoopwaarden belastbaar tegen 33%
2213-18,Kapitalen en afkoopwaarden belastbaar tegen 33% (partner)
1245-16,Kapitalen en afkoopwaarden belastbaar tegen 20%
2245-83,Kapitalen en afkoopwaarden belastbaar tegen 20% (partner)
1253-08,Kapitalen en afkoopwaarden belastbaar tegen 18%
2253-75,Kapitalen en afkoopwaarden belastbaar tegen 18% (partner)
1232-29,Gekapitaliseerde waarde wettelijke pensioenen - 16,5%
2232-96,Gekapitaliseerde waarde wettelijke pensioenen - 16,5% (partner)
1237-24,Gekapitaliseerde waarde overlevingspensioenen - 16,5%
2237-91,Gekapitaliseerde waarde overlevingspensioenen - 16,5% (partner)
1214-47,Andere kapitalen - 16,5%
2214-17,Andere kapitalen - 16,5% (partner)
1215-46,Kapitalen belastbaar tegen 10%
2215-16,Kapitalen belastbaar tegen 10% (partner)
1216-45,Omzettingsrenten betaald/toegekend in 2025
2216-15,Omzettingsrenten betaald/toegekend in 2025 (partner)
1218-43,Omzettingsrenten betaald/toegekend 2013-2024
2218-13,Omzettingsrenten betaald/toegekend 2013-2024 (partner)
1217-44,Arbeidsongevallen/beroepsziekten - uitkeringen
2217-14,Arbeidsongevallen/beroepsziekten - uitkeringen (partner)
1224-37,Achterstallen arbeidsongevallen/beroepsziekten
2224-07,Achterstallen arbeidsongevallen/beroepsziekten (partner)
1226-35,Omzettingsrenten arbeidsongevallen 2025
2226-05,Omzettingsrenten arbeidsongevallen 2025 (partner)
1227-34,Omzettingsrenten arbeidsongevallen 2013-2024
2227-04,Omzettingsrenten arbeidsongevallen 2013-2024 (partner)
1219-42,Pensioensparen - gezamenlijk belastbaar
2219-12,Pensioensparen - gezamenlijk belastbaar (partner)
1220-41,Pensioensparen - afzonderlijk belastbaar 33%
2220-11,Pensioensparen - afzonderlijk belastbaar 33% (partner)
1221-40,Pensioensparen - afzonderlijk belastbaar 16,5%
2221-10,Pensioensparen - afzonderlijk belastbaar 16,5% (partner)
1222-39,Pensioensparen - afzonderlijk belastbaar 8%
2222-09,Pensioensparen - afzonderlijk belastbaar 8% (partner)
1223-38,Niet ingehouden persoonlijke sociale bijdragen
2223-08,Niet ingehouden persoonlijke sociale bijdragen (partner)
1225-36,Totaal bedrijfsvoorheffing
2225-06,Totaal bedrijfsvoorheffing (partner)
